,sound,condition,accuracy,key,reaction_time
0,balkons,rw,N,m,1.6086572220083326
1,rastel,nw,C,m,0.9502096800133586
2,vrijk,nw,C,m,0.8691814070334658
3,bij,rw,N,m,0.6160904590506107
4,ploe,nw,C,m,0.5499609749531373
5,zit,rw,N,m,0.6062096749665216
6,margriet,rw,N,m,0.6382054289570078
7,udel,nw,C,m,0.5557955480180681
8,gesmalpt,nw,C,m,0.7971510760253295
9,eigen,rw,C,z,0.9888232159428298
10,murselein,nw,N,z,0.6901529739843681
11,jugen,nw,N,z,0.5979650190565735
12,bezans,nw,N,z,0.46113225794397295
13,entel,nw,N,z,0.5556218440178782
14,snert,rw,C,z,0.5720872259698808
15,jaat,nw,N,z,0.6285184619482607
16,begin,rw,C,z,0.6834416060009971
17,ant,nw,N,z,0.5262249370571226
18,vroeg,rw,C,z,0.7126203030347824
19,wakker,rw,C,z,0.620173693052493
